,StationID,Replicate,SampleDate,Latitude,Longitude,Species,Abundance,Salinity
29,B18-10182,1,9/19/2018,32.55694,-117.12755,Lineidae sp,1,33.5
30,B18-10182,1,9/19/2018,32.55694,-117.12755,Tubulanus polymorphus,2,33.5
31,B18-10195,1,9/10/2018,32.80456,-117.22293,Oligochaeta,228,33
32,B18-10195,1,9/10/2018,32.80456,-117.22293,Capitella capitata Cmplx,99,33
33,B18-10195,1,9/10/2018,32.80456,-117.22293,Exogone sp A,118,33
34,B18-10195,1,9/10/2018,32.80456,-117.22293,Polydora nuchalis,14,33
35,B18-10195,1,9/10/2018,32.80456,-117.22293,Grandidierella japonica,3,33
36,B18-10195,1,9/10/2018,32.80456,-117.22293,Monocorophium sp,8,33
37,B18-10195,1,9/10/2018,32.80456,-117.22293,Monocorophium insidiosum,13,33
38,B18-10195,1,9/10/2018,32.80456,-117.22293,Acteocina carinata,17,33
39,B18-10195,1,9/10/2018,32.80456,-117.22293,Cerithidea californica,149,33
40,B18-10174,1,8/10/2018,32.97306,-117.24947,Oligochaeta,7,34.1
41,B18-10174,1,8/10/2018,32.97306,-117.24947,Pseudopolydora paucibranchiata,5,34.1
42,B18-10174,1,8/10/2018,32.97306,-117.24947,Streblospio benedicti,80,34.1
43,B18-10174,1,8/10/2018,32.97306,-117.24947,Piromis capulata,1,34.1
44,B18-10174,1,8/10/2018,32.97306,-117.24947,Neanthes acuminata Cmplx,2,34.1
45,B18-10174,1,8/10/2018,32.97306,-117.24947,Mediomastus sp,1,34.1
46,B18-10174,1,8/10/2018,32.97306,-117.24947,Leitoscoloplos pugettensis,1,34.1
47,B18-10174,1,8/10/2018,32.97306,-117.24947,Exogone sp A,1,34.1
48,B18-10174,1,8/10/2018,32.97306,-117.24947,Boccardiella hamata,2,34.1
49,B18-10174,1,8/10/2018,32.97306,-117.24947,Marphysa sp,1,34.1
50,B18-10174,1,8/10/2018,32.97306,-117.24947,Exogone sp,1,34.1
51,B18-10174,1,8/10/2018,32.97306,-117.24947,Rhynchospio arenincola,1,34.1
52,B18-10174,1,8/10/2018,32.97306,-117.24947,Cirriformia sp,1,34.1
53,B18-10174,1,8/10/2018,32.97306,-117.24947,Protohyale canalina,2,34.1
54,B18-10174,1,8/10/2018,32.97306,-117.24947,Bemlos macromanus,1,34.1
55,B18-10174,1,8/10/2018,32.97306,-117.24947,Mayerella acanthopoda,7,34.1
56,B18-10174,1,8/10/2018,32.97306,-117.24947,Chondrochelia dubia Cmplx,11,34.1
57,B18-10174,1,8/10/2018,32.97306,-117.24947,Podocerus fulanus,5,34.1
58,B18-10174,1,8/10/2018,32.97306,-117.24947,Paracerceis sculpta,1,34.1
59,B18-10174,1,8/10/2018,32.97306,-117.24947,Grandidierella japonica,7,34.1
60,B18-10174,1,8/10/2018,32.97306,-117.24947,Zeuxo normani Cmplx,5,34.1
61,B18-10174,1,8/10/2018,32.97306,-117.24947,Ampithoe sp,2,34.1
62,B18-10174,1,8/10/2018,32.97306,-117.24947,Monocorophium sp,2,34.1
63,B18-10174,1,8/10/2018,32.97306,-117.24947,Oxyurostylis pacifica,2,34.1
64,B18-10174,1,8/10/2018,32.97306,-117.24947,Ericthonius brasiliensis,7,34.1
65,B18-10174,1,8/10/2018,32.97306,-117.24947,Actiniaria,6,34.1
66,B18-10174,1,8/10/2018,32.97306,-117.24947,Tagelus affinis,40,34.1
67,B18-10174,1,8/10/2018,32.97306,-117.24947,Musculista senhousia,9,34.1
68,B18-10174,1,8/10/2018,32.97306,-117.24947,Tellina cadieni,35,34.1
69,B18-10174,1,8/10/2018,32.97306,-117.24947,Laevicardium substriatum,21,34.1
70,B18-10174,1,8/10/2018,32.97306,-117.24947,Mytilidae,1,34.1
71,B18-10174,1,8/10/2018,32.97306,-117.24947,Chione californiensis,1,34.1
72,B18-10174,1,8/10/2018,32.97306,-117.24947,Asthenothaerus diegensis,3,34.1
73,B18-10174,1,8/10/2018,32.97306,-117.24947,Acteocina carinata,89,34.1
74,B18-10174,1,8/10/2018,32.97306,-117.24947,Barleeia haliotiphila,37,34.1
75,B18-10174,1,8/10/2018,32.97306,-117.24947,Bulla gouldiana,12,34.1
76,B18-10174,1,8/10/2018,32.97306,-117.24947,Phoronis sp,104,34.1
77,B18-10174,1,8/10/2018,32.97306,-117.24947,Phoronidae,73,34.1
78,B18-10194,1,8/10/2018,32.97614,-117.24785,Oligochaeta,3,34.4
79,B18-10194,1,8/10/2018,32.97614,-117.24785,Capitella capitata Cmplx,9,34.4
80,B18-10194,1,8/10/2018,32.97614,-117.24785,Streblospio benedicti,47,34.4
81,B18-10194,1,8/10/2018,32.97614,-117.24785,Neanthes acuminata Cmplx,1,34.4
82,B18-10194,1,8/10/2018,32.97614,-117.24785,Scolelepis (Parascolelepis) texana,1,34.4
83,B18-10194,1,8/10/2018,32.97614,-117.24785,Scoletoma sp,1,34.4
84,B18-10194,1,8/10/2018,32.97614,-117.24785,Gammaridea sp,3,34.4
85,B18-10194,1,8/10/2018,32.97614,-117.24785,Podocerus fulanus,2,34.4
86,B18-10194,1,8/10/2018,32.97614,-117.24785,Paracerceis sculpta,9,34.4
87,B18-10194,1,8/10/2018,32.97614,-117.24785,Grandidierella japonica,55,34.4
88,B18-10194,1,8/10/2018,32.97614,-117.24785,Monocorophium acherusicum,4,34.4
89,B18-10194,1,8/10/2018,32.97614,-117.24785,Zeuxo normani Cmplx,1,34.4
90,B18-10194,1,8/10/2018,32.97614,-117.24785,Tethygeneia opata,4,34.4
91,B18-10194,1,8/10/2018,32.97614,-117.24785,Ampithoe longimana,8,34.4
92,B18-10194,1,8/10/2018,32.97614,-117.24785,Alpheus californiensis,2,34.4
93,B18-10194,1,8/10/2018,32.97614,-117.24785,Ampithoe valida,1,34.4
94,B18-10194,1,8/10/2018,32.97614,-117.24785,Caprellidae,1,34.4
95,B18-10194,1,8/10/2018,32.97614,-117.24785,Penaeoidea,1,34.4
96,B18-10194,1,8/10/2018,32.97614,-117.24785,Actiniaria,2,34.4
97,B18-10194,1,8/10/2018,32.97614,-117.24785,Tagelus affinis,56,34.4
98,B18-10194,1,8/10/2018,32.97614,-117.24785,Musculista senhousia,106,34.4
99,B18-10194,1,8/10/2018,32.97614,-117.24785,Tellina cadieni,65,34.4
100,B18-10194,1,8/10/2018,32.97614,-117.24785,Laevicardium substriatum,11,34.4
101,B18-10194,1,8/10/2018,32.97614,-117.24785,Macoma yoldiformis,1,34.4
102,B18-10194,1,8/10/2018,32.97614,-117.24785,Leukoma laciniata,1,34.4
103,B18-10194,1,8/10/2018,32.97614,-117.24785,Acteocina carinata,130,34.4
104,B18-10194,1,8/10/2018,32.97614,-117.24785,NEMATODA,1,34.4
105,B18-10194,1,8/10/2018,32.97614,-117.24785,NEMERTEA,2,34.4
106,B18-10194,1,8/10/2018,32.97614,-117.24785,Phoronis sp,176,34.4
107,B18-10194,1,8/10/2018,32.97614,-117.24785,Phoronidae,138,34.4
108,B18-10194,1,8/10/2018,32.97614,-117.24785,Notoplanidae,1,34.4
109,B18-10201,1,9/26/2018,32.59896,-117.11546,Oligochaeta,66,38
110,B18-10201,1,9/26/2018,32.59896,-117.11546,Pseudopolydora paucibranchiata,7,38
111,B18-10201,1,9/26/2018,32.59896,-117.11546,Capitella capitata Cmplx,6,38
112,B18-10201,1,9/26/2018,32.59896,-117.11546,Streblospio benedicti,2,38
113,B18-10201,1,9/26/2018,32.59896,-117.11546,Armandia brevis,32,38
114,B18-10201,1,9/26/2018,32.59896,-117.11546,Acromegalomma pigmentum,44,38
115,B18-10201,1,9/26/2018,32.59896,-117.11546,Piromis capulata,9,38
116,B18-10201,1,9/26/2018,32.59896,-117.11546,Fabricinuda limnicola,154,38
117,B18-10201,1,9/26/2018,32.59896,-117.11546,Neanthes acuminata Cmplx,24,38
118,B18-10201,1,9/26/2018,32.59896,-117.11546,Prionospio heterobranchia,1,38
119,B18-10201,1,9/26/2018,32.59896,-117.11546,Scoloplos acmeceps,1,38
120,B18-10201,1,9/26/2018,32.59896,-117.11546,Leitoscoloplos pugettensis,12,38
121,B18-10201,1,9/26/2018,32.59896,-117.11546,Exogone sp A,18,38
122,B18-10201,1,9/26/2018,32.59896,-117.11546,Scoletoma sp C,2,38
123,B18-10201,1,9/26/2018,32.59896,-117.11546,Scolelepis (Parascolelepis) texana,1,38
124,B18-10201,1,9/26/2018,32.59896,-117.11546,Salvatoria californiensis,1,38
125,B18-10201,1,9/26/2018,32.59896,-117.11546,Protohyale canalina,5,38
126,B18-10201,1,9/26/2018,32.59896,-117.11546,Siriella pacifica,1,38
127,B18-10201,1,9/26/2018,32.59896,-117.11546,Bemlos macromanus,15,38
128,B18-10201,1,9/26/2018,32.59896,-117.11546,Elasmopus bampo,12,38
129,B18-10201,1,9/26/2018,32.59896,-117.11546,Mayerella acanthopoda,1,38
130,B18-10201,1,9/26/2018,32.59896,-117.11546,Chondrochelia dubia Cmplx,16,38
131,B18-10201,1,9/26/2018,32.59896,-117.11546,Podocerus fulanus,15,38
132,B18-10201,1,9/26/2018,32.59896,-117.11546,Paracerceis sculpta,125,38
133,B18-10201,1,9/26/2018,32.59896,-117.11546,Leucothoe alata,11,38
134,B18-10201,1,9/26/2018,32.59896,-117.11546,Hippolyte californiensis,1,38
135,B18-10201,1,9/26/2018,32.59896,-117.11546,Gonopanope nitida,1,38
136,B18-10201,1,9/26/2018,32.59896,-117.11546,Uromunna ubiquita,1,38
137,B18-10201,1,9/26/2018,32.59896,-117.11546,Rudilemboides stenopropodus,1,38
138,B18-10201,1,9/26/2018,32.59896,-117.11546,Actiniaria,29,38
139,B18-10201,1,9/26/2018,32.59896,-117.11546,Edwardsia sp,1,38
140,B18-10201,1,9/26/2018,32.59896,-117.11546,Leptosynapta,1,38
141,B18-10201,1,9/26/2018,32.59896,-117.11546,Tagelus affinis,11,38
142,B18-10201,1,9/26/2018,32.59896,-117.11546,Tellina meropsis,15,38
143,B18-10201,1,9/26/2018,32.59896,-117.11546,Musculista senhousia,62,38
144,B18-10201,1,9/26/2018,32.59896,-117.11546,Lyonsia californica,1,38
145,B18-10201,1,9/26/2018,32.59896,-117.11546,Acteocina carinata,26,38
146,B18-10201,1,9/26/2018,32.59896,-117.11546,Barleeia haliotiphila,14,38
147,B18-10201,1,9/26/2018,32.59896,-117.11546,Astyris aurantiaca,13,38
148,B18-10201,1,9/26/2018,32.59896,-117.11546,Tryonia imitator,2,38
149,B18-10201,1,9/26/2018,32.59896,-117.11546,NEMATODA,62,38
150,B18-10201,1,9/26/2018,32.59896,-117.11546,Phoronis sp,5,38
151,B18-10201,1,9/26/2018,32.59896,-117.11546,Phoronidae,8,38
152,B18-10201,2,9/26/2018,32.59896,-117.11546,Oligochaeta,88,38
153,B18-10201,2,9/26/2018,32.59896,-117.11546,Pseudopolydora paucibranchiata,9,38
154,B18-10201,2,9/26/2018,32.59896,-117.11546,Capitella capitata Cmplx,9,38
155,B18-10201,2,9/26/2018,32.59896,-117.11546,Streblospio benedicti,8,38
156,B18-10201,2,9/26/2018,32.59896,-117.11546,Armandia brevis,76,38
157,B18-10201,2,9/26/2018,32.59896,-117.11546,Acromegalomma pigmentum,68,38
158,B18-10201,2,9/26/2018,32.59896,-117.11546,Piromis capulata,62,38
159,B18-10201,2,9/26/2018,32.59896,-117.11546,Fabricinuda limnicola,50,38
160,B18-10201,2,9/26/2018,32.59896,-117.11546,Neanthes acuminata Cmplx,44,38
161,B18-10201,2,9/26/2018,32.59896,-117.11546,Prionospio heterobranchia,3,38
162,B18-10201,2,9/26/2018,32.59896,-117.11546,Scoloplos acmeceps,3,38
163,B18-10201,2,9/26/2018,32.59896,-117.11546,Mediomastus sp,3,38
164,B18-10201,2,9/26/2018,32.59896,-117.11546,Leitoscoloplos pugettensis,29,38
165,B18-10201,2,9/26/2018,32.59896,-117.11546,Exogone sp A,27,38
166,B18-10201,2,9/26/2018,32.59896,-117.11546,Eteone dilatae,1,38
167,B18-10201,2,9/26/2018,32.59896,-117.11546,Protohyale canalina,75,38
168,B18-10201,2,9/26/2018,32.59896,-117.11546,Hourstonius vilordes,7,38
169,B18-10201,2,9/26/2018,32.59896,-117.11546,Siriella pacifica,6,38
170,B18-10201,2,9/26/2018,32.59896,-117.11546,Gammaridea sp,5,38
171,B18-10201,2,9/26/2018,32.59896,-117.11546,Bemlos macromanus,43,38
172,B18-10201,2,9/26/2018,32.59896,-117.11546,Elasmopus bampo,40,38
173,B18-10201,2,9/26/2018,32.59896,-117.11546,Mayerella acanthopoda,3,38
174,B18-10201,2,9/26/2018,32.59896,-117.11546,Paranthura japonica,3,38
175,B18-10201,2,9/26/2018,32.59896,-117.11546,Chondrochelia dubia Cmplx,28,38
176,B18-10201,2,9/26/2018,32.59896,-117.11546,Podocerus fulanus,28,38
177,B18-10201,2,9/26/2018,32.59896,-117.11546,Paracerceis sculpta,178,38
178,B18-10201,2,9/26/2018,32.59896,-117.11546,Leucothoe alata,1,38
179,B18-10201,2,9/26/2018,32.59896,-117.11546,Hippolyte californiensis,1,38
180,B18-10201,2,9/26/2018,32.59896,-117.11546,Gonopanope nitida,1,38
181,B18-10201,2,9/26/2018,32.59896,-117.11546,Grandidierella japonica,1,38
182,B18-10201,2,9/26/2018,32.59896,-117.11546,Monocorophium acherusicum,1,38
183,B18-10201,2,9/26/2018,32.59896,-117.11546,Zeuxo normani Cmplx,1,38
184,B18-10201,2,9/26/2018,32.59896,-117.11546,Ampithoe sp,1,38
185,B18-10201,2,9/26/2018,32.59896,-117.11546,Paradexamine sp SD1,1,38
186,B18-10201,2,9/26/2018,32.59896,-117.11546,Acanthomysis californica,1,38
187,B18-10201,2,9/26/2018,32.59896,-117.11546,Actiniaria,202,38
188,B18-10201,2,9/26/2018,32.59896,-117.11546,Leptosynapta,1,38
189,B18-10201,2,9/26/2018,32.59896,-117.11546,Amphipholis squamata,2,38
190,B18-10201,2,9/26/2018,32.59896,-117.11546,Tagelus affinis,5,38
191,B18-10201,2,9/26/2018,32.59896,-117.11546,Tellina meropsis,42,38
192,B18-10201,2,9/26/2018,32.59896,-117.11546,Musculista senhousia,178,38
193,B18-10201,2,9/26/2018,32.59896,-117.11546,Lyonsia californica,1,38
194,B18-10201,2,9/26/2018,32.59896,-117.11546,Semele sp,1,38
195,B18-10201,2,9/26/2018,32.59896,-117.11546,Theora lubrica,1,38
196,B18-10201,2,9/26/2018,32.59896,-117.11546,Acteocina carinata,34,38
197,B18-10201,2,9/26/2018,32.59896,-117.11546,Barleeia haliotiphila,2,38
198,B18-10201,2,9/26/2018,32.59896,-117.11546,Astyris aurantiaca,10,38
199,B18-10201,2,9/26/2018,32.59896,-117.11546,Tryonia imitator,1,38
200,B18-10201,2,9/26/2018,32.59896,-117.11546,NEMATODA,25,38
201,B18-10201,2,9/26/2018,32.59896,-117.11546,Lineidae sp,2,38
202,B18-10201,2,9/26/2018,32.59896,-117.11546,Phoronis sp,22,38
203,B18-10201,2,9/26/2018,32.59896,-117.11546,Phoronidae,14,38
204,B18-10201,2,9/26/2018,32.59896,-117.11546,Phaenoplana longipenis,5,38
205,B18-10201,2,9/26/2018,32.59896,-117.11546,Rhabdocoela sp,1,38
206,B18-10201,1,9/26/2018,32.59899,-117.11547,Oligochaeta,66,38
207,B18-10201,1,9/26/2018,32.59899,-117.11547,Pseudopolydora paucibranchiata,7,38
208,B18-10201,1,9/26/2018,32.59899,-117.11547,Capitella capitata Cmplx,6,38
209,B18-10201,1,9/26/2018,32.59899,-117.11547,Streblospio benedicti,2,38
210,B18-10201,1,9/26/2018,32.59899,-117.11547,Armandia brevis,32,38
211,B18-10201,1,9/26/2018,32.59899,-117.11547,Acromegalomma pigmentum,44,38
212,B18-10201,1,9/26/2018,32.59899,-117.11547,Piromis capulata,9,38
213,B18-10201,1,9/26/2018,32.59899,-117.11547,Fabricinuda limnicola,154,38
214,B18-10201,1,9/26/2018,32.59899,-117.11547,Neanthes acuminata Cmplx,24,38
215,B18-10201,1,9/26/2018,32.59899,-117.11547,Prionospio heterobranchia,1,38
216,B18-10201,1,9/26/2018,32.59899,-117.11547,Scoloplos acmeceps,1,38
217,B18-10201,1,9/26/2018,32.59899,-117.11547,Leitoscoloplos pugettensis,12,38
218,B18-10201,1,9/26/2018,32.59899,-117.11547,Exogone sp A,18,38
219,B18-10201,1,9/26/2018,32.59899,-117.11547,Scoletoma sp C,2,38
220,B18-10201,1,9/26/2018,32.59899,-117.11547,Scolelepis (Parascolelepis) texana,1,38
221,B18-10201,1,9/26/2018,32.59899,-117.11547,Salvatoria californiensis,1,38
222,B18-10201,1,9/26/2018,32.59899,-117.11547,Protohyale canalina,5,38
223,B18-10201,1,9/26/2018,32.59899,-117.11547,Siriella pacifica,1,38
224,B18-10201,1,9/26/2018,32.59899,-117.11547,Bemlos macromanus,15,38
225,B18-10201,1,9/26/2018,32.59899,-117.11547,Elasmopus bampo,12,38
226,B18-10201,1,9/26/2018,32.59899,-117.11547,Mayerella acanthopoda,1,38
227,B18-10201,1,9/26/2018,32.59899,-117.11547,Chondrochelia dubia Cmplx,16,38
228,B18-10201,1,9/26/2018,32.59899,-117.11547,Podocerus fulanus,15,38
229,B18-10201,1,9/26/2018,32.59899,-117.11547,Paracerceis sculpta,125,38
230,B18-10201,1,9/26/2018,32.59899,-117.11547,Leucothoe alata,11,38
231,B18-10201,1,9/26/2018,32.59899,-117.11547,Hippolyte californiensis,1,38
232,B18-10201,1,9/26/2018,32.59899,-117.11547,Gonopanope nitida,1,38
233,B18-10201,1,9/26/2018,32.59899,-117.11547,Uromunna ubiquita,1,38
234,B18-10201,1,9/26/2018,32.59899,-117.11547,Rudilemboides stenopropodus,1,38
235,B18-10201,1,9/26/2018,32.59899,-117.11547,Actiniaria,29,38
236,B18-10201,1,9/26/2018,32.59899,-117.11547,Edwardsia sp,1,38
237,B18-10201,1,9/26/2018,32.59899,-117.11547,Leptosynapta,1,38
238,B18-10201,1,9/26/2018,32.59899,-117.11547,Tagelus affinis,11,38
239,B18-10201,1,9/26/2018,32.59899,-117.11547,Tellina meropsis,15,38
240,B18-10201,1,9/26/2018,32.59899,-117.11547,Musculista senhousia,62,38
241,B18-10201,1,9/26/2018,32.59899,-117.11547,Lyonsia californica,1,38
242,B18-10201,1,9/26/2018,32.59899,-117.11547,Acteocina carinata,26,38
243,B18-10201,1,9/26/2018,32.59899,-117.11547,Barleeia haliotiphila,14,38
244,B18-10201,1,9/26/2018,32.59899,-117.11547,Astyris aurantiaca,13,38
245,B18-10201,1,9/26/2018,32.59899,-117.11547,Tryonia imitator,2,38
246,B18-10201,1,9/26/2018,32.59899,-117.11547,NEMATODA,62,38
247,B18-10201,1,9/26/2018,32.59899,-117.11547,Phoronis sp,5,38
248,B18-10201,1,9/26/2018,32.59899,-117.11547,Phoronidae,8,38
249,B18-10201,2,9/26/2018,32.59899,-117.11547,Oligochaeta,88,38
250,B18-10201,2,9/26/2018,32.59899,-117.11547,Pseudopolydora paucibranchiata,9,38
251,B18-10201,2,9/26/2018,32.59899,-117.11547,Capitella capitata Cmplx,9,38
252,B18-10201,2,9/26/2018,32.59899,-117.11547,Streblospio benedicti,8,38
253,B18-10201,2,9/26/2018,32.59899,-117.11547,Armandia brevis,76,38
254,B18-10201,2,9/26/2018,32.59899,-117.11547,Acromegalomma pigmentum,68,38
255,B18-10201,2,9/26/2018,32.59899,-117.11547,Piromis capulata,62,38
256,B18-10201,2,9/26/2018,32.59899,-117.11547,Fabricinuda limnicola,50,38
257,B18-10201,2,9/26/2018,32.59899,-117.11547,Neanthes acuminata Cmplx,44,38
258,B18-10201,2,9/26/2018,32.59899,-117.11547,Prionospio heterobranchia,3,38
259,B18-10201,2,9/26/2018,32.59899,-117.11547,Scoloplos acmeceps,3,38
260,B18-10201,2,9/26/2018,32.59899,-117.11547,Mediomastus sp,3,38
261,B18-10201,2,9/26/2018,32.59899,-117.11547,Leitoscoloplos pugettensis,29,38
262,B18-10201,2,9/26/2018,32.59899,-117.11547,Exogone sp A,27,38
263,B18-10201,2,9/26/2018,32.59899,-117.11547,Eteone dilatae,1,38
264,B18-10201,2,9/26/2018,32.59899,-117.11547,Protohyale canalina,75,38
265,B18-10201,2,9/26/2018,32.59899,-117.11547,Hourstonius vilordes,7,38
266,B18-10201,2,9/26/2018,32.59899,-117.11547,Siriella pacifica,6,38
267,B18-10201,2,9/26/2018,32.59899,-117.11547,Gammaridea sp,5,38
268,B18-10201,2,9/26/2018,32.59899,-117.11547,Bemlos macromanus,43,38
269,B18-10201,2,9/26/2018,32.59899,-117.11547,Elasmopus bampo,40,38
270,B18-10201,2,9/26/2018,32.59899,-117.11547,Mayerella acanthopoda,3,38
271,B18-10201,2,9/26/2018,32.59899,-117.11547,Paranthura japonica,3,38
272,B18-10201,2,9/26/2018,32.59899,-117.11547,Chondrochelia dubia Cmplx,28,38
273,B18-10201,2,9/26/2018,32.59899,-117.11547,Podocerus fulanus,28,38
274,B18-10201,2,9/26/2018,32.59899,-117.11547,Paracerceis sculpta,178,38
275,B18-10201,2,9/26/2018,32.59899,-117.11547,Leucothoe alata,1,38
276,B18-10201,2,9/26/2018,32.59899,-117.11547,Hippolyte californiensis,1,38
277,B18-10201,2,9/26/2018,32.59899,-117.11547,Gonopanope nitida,1,38
278,B18-10201,2,9/26/2018,32.59899,-117.11547,Grandidierella japonica,1,38
279,B18-10201,2,9/26/2018,32.59899,-117.11547,Monocorophium acherusicum,1,38
280,B18-10201,2,9/26/2018,32.59899,-117.11547,Zeuxo normani Cmplx,1,38
281,B18-10201,2,9/26/2018,32.59899,-117.11547,Ampithoe sp,1,38
282,B18-10201,2,9/26/2018,32.59899,-117.11547,Paradexamine sp SD1,1,38
283,B18-10201,2,9/26/2018,32.59899,-117.11547,Acanthomysis californica,1,38
284,B18-10201,2,9/26/2018,32.59899,-117.11547,Actiniaria,202,38
285,B18-10201,2,9/26/2018,32.59899,-117.11547,Leptosynapta,1,38
286,B18-10201,2,9/26/2018,32.59899,-117.11547,Amphipholis squamata,2,38
287,B18-10201,2,9/26/2018,32.59899,-117.11547,Tagelus affinis,5,38
288,B18-10201,2,9/26/2018,32.59899,-117.11547,Tellina meropsis,42,38
289,B18-10201,2,9/26/2018,32.59899,-117.11547,Musculista senhousia,178,38
290,B18-10201,2,9/26/2018,32.59899,-117.11547,Lyonsia californica,1,38
291,B18-10201,2,9/26/2018,32.59899,-117.11547,Semele sp,1,38
292,B18-10201,2,9/26/2018,32.59899,-117.11547,Theora lubrica,1,38
293,B18-10201,2,9/26/2018,32.59899,-117.11547,Acteocina carinata,34,38
294,B18-10201,2,9/26/2018,32.59899,-117.11547,Barleeia haliotiphila,2,38
295,B18-10201,2,9/26/2018,32.59899,-117.11547,Astyris aurantiaca,10,38
296,B18-10201,2,9/26/2018,32.59899,-117.11547,Tryonia imitator,1,38
297,B18-10201,2,9/26/2018,32.59899,-117.11547,NEMATODA,25,38
298,B18-10201,2,9/26/2018,32.59899,-117.11547,Lineidae sp,2,38
299,B18-10201,2,9/26/2018,32.59899,-117.11547,Phoronis sp,22,38
300,B18-10201,2,9/26/2018,32.59899,-117.11547,Phoronidae,14,38
301,B18-10201,2,9/26/2018,32.59899,-117.11547,Phaenoplana longipenis,5,38
302,B18-10201,2,9/26/2018,32.59899,-117.11547,Rhabdocoela sp,1,38
303,B18-10824,1,9/26/2018,32.58854,-117.10763,Eteone dilatae,1,39.4
304,B18-10824,1,9/26/2018,32.58854,-117.10763,Oligochaeta,124,39.4
305,B18-10824,1,9/26/2018,32.58854,-117.10763,Capitella capitata Cmplx,21,39.4
306,B18-10824,1,9/26/2018,32.58854,-117.10763,Streblospio benedicti,52,39.4
307,B18-10824,1,9/26/2018,32.58854,-117.10763,Acromegalomma pigmentum,1,39.4
308,B18-10824,1,9/26/2018,32.58854,-117.10763,Neanthes acuminata Cmplx,7,39.4
309,B18-10824,1,9/26/2018,32.58854,-117.10763,Exogone sp A,36,39.4
310,B18-10824,1,9/26/2018,32.58854,-117.10763,Marphysa sp,15,39.4
311,B18-10824,1,9/26/2018,32.58854,-117.10763,Salvatoria heterocirra,1,39.4
312,B18-10824,1,9/26/2018,32.58854,-117.10763,Chondrochelia dubia Cmplx,48,39.4
313,B18-10824,1,9/26/2018,32.58854,-117.10763,Grandidierella japonica,4,39.4
314,B18-10824,1,9/26/2018,32.58854,-117.10763,Monocorophium acherusicum,12,39.4
315,B18-10824,1,9/26/2018,32.58854,-117.10763,Monocorophium uenoi,3,39.4
316,B18-10824,1,9/26/2018,32.58854,-117.10763,Oxyurostylis pacifica,2,39.4
317,B18-10824,1,9/26/2018,32.58854,-117.10763,Tagelus affinis,3,39.4
318,B18-10824,1,9/26/2018,32.58854,-117.10763,Tellina meropsis,7,39.4
319,B18-10824,1,9/26/2018,32.58854,-117.10763,Musculista senhousia,6,39.4
320,B18-10824,1,9/26/2018,32.58854,-117.10763,Lyonsia californica,1,39.4
321,B18-10824,1,9/26/2018,32.58854,-117.10763,Acteocina carinata,68,39.4
322,B18-10824,1,9/26/2018,32.58854,-117.10763,NEMATODA,9,39.4
323,B18-10173,1,9/12/2018,33.08952,-117.28498,Actiniaria,26,34.4
324,B18-10173,1,9/12/2018,33.08952,-117.28498,Musculista senhousia,9,34.4
